Zipcode,Avg. Price
98125,64.714285714
98133,71
98106,76.926829268
98177,84.2
98108,84.844444444
98118,93.798701299
98178,94.666666667
98117,95.14
98146,97.8
98105,104.058536585
98144,105.395
98115,109.945945946
98103,122.278846154
98107,123.124031008
98126,127.211538462
98102,127.256317690
98122,133.265065177
98104,135.221052632
98112,143.369565217
98136,144.114285714
98116,145.733944954
,149.5
98199,151.816326531
98121,154.046153846
98109,158.563380282
98101,166.939698492
98119,171.110091743
98134,206.6
